期号,开奖日期,一区(01-10)出号数,二区(11-20)出号数,三区(21-35)出号数,三区全覆盖(每区≥1)
2026079,2026-07-15,2,0,3,✗ 缺失
2026078,2026-07-13,1,2,2,✓ 满足
2026077,2026-07-11,1,2,2,✓ 满足
2026076,2026-07-08,0,2,3,✗ 缺失
2026075,2026-07-06,2,2,1,✓ 满足
2026074,2026-07-04,3,0,2,✗ 缺失
2026073,2026-07-01,2,0,3,✗ 缺失
2026072,2026-06-29,1,1,3,✓ 满足
2026071,2026-06-27,1,1,3,✓ 满足
2026070,2026-06-24,2,1,2,✓ 满足
2026069,2026-06-22,0,2,3,✗ 缺失
2026068,2026-06-20,1,2,2,✓ 满足
2026067,2026-06-17,1,3,1,✓ 满足
2026066,2026-06-15,1,2,2,✓ 满足
2026065,2026-06-13,1,3,1,✓ 满足
2026064,2026-06-10,1,3,1,✓ 满足
2026063,2026-06-08,1,2,2,✓ 满足
2026062,2026-06-06,1,2,2,✓ 满足
2026061,2026-06-03,1,1,3,✓ 满足
2026060,2026-06-01,0,0,5,✗ 缺失
2026059,2026-05-30,1,3,1,✓ 满足
